,description,en,fr,pl,ru,es,it,ga,fil,de,tr,id,pt,jp
MENU_GAME_SELECT,,Select Game,Selectionnez un jeu,Wybierz Grę,bыбepиte ИгpУ,Seleccionar juego,Seleziona il gioco,ＳＥＬＥＣＴ ＧＡＭＥ,Pumili ng game,Spiel wählen,Oyun Seç,Pilih Permainan,Selecione o Jogo,ゲームをえらぶ
CAMPAIGN_SMB1,,Super Mario Bros.,Super Mario Bros.,Super Mario Bros.,Super Mario Bros.,Super Mario Bros.,Super Mario Bros.,ＳＵＰＥＲ ＭＡＲＩＯ ＢＲＯＳ.,Super Mario Bros.,Super Mario Bros.,Super Marİo Bros.,Super Mario Bros,Super Mario Bros.,マリオ1
CAMPAIGN_SMBLL,,Super Mario Bros. The Lost Levels,Super Mario Bros. Les niveaux perdus,Super Mario Bros. Zaginione Poziomy,Super Mario Bros. The Lost Levels,Super Mario Bros. Los Niveles Perdidos,Super Mario Bros. The Lost Levels,ＳＵＰＥＲ ＭＡＲＩＯ ＢＲＯＳ. ＴＨＥ ＬＯＳＴ ＬＥＶＥＬＳ,Super Mario Bros. The Lost Levels,Super Mario Bros.: The Lost Levels,Super Marİo Bros. The Lost Levels,Super Mario Bros. The Lost Levels,Super Mario Bros. The Lost Levels,マリオ2
CAMPAIGN_SMBS,,Super Mario Bros. Special,Super Mario Bros. Spécial,Super Mario Bros. Wersja Specialna,Super Mario Bros. Special,Super Mario Bros. Especial,Super Mario Bros. Special,ＳＵＰＥＲ ＭＡＲＩＯ ＢＲＯＳ. ＳＰＥＣＩＡＬ,Super Mario Bros. Special,Super Mario Bros. Special,Super Marİo Bros. Specİal,Super Mario Bros. Special,Super Mario Bros. Special,スペシャル
CAMPAIGN_SMBANN,,All Night Nippon: Super Mario Bros.,All Night Nippon: Super Mario Bros.,All Night Nippon: Super Mario Bros.,All Night Nippon: Super Mario Bros.,All Night Nippon: Super Mario Bros.,All Night Nippon: Super Mario Bros.,ＡＬＬ ＮＩＧＨＴ ＮＩＰＰＯＮ: ＳＵＰＥＲ ＭＡＲＩＯ ＢＲＯＳ.,All Night Nippon: Super Mario Bros.,All Night Nippon: Super Mario Bros.,All Nİght Nİppon: Super Marİo Bros.,All Night Nippon: Super Mario Bros.,All Night Nippon: Super Mario Bros.,オールナイトニッポン
CUSTOM_LEVELS,,Custom Levels,Niveaux Custom,Poziomy Użytkowników,Пoльзobateльckиe Уpobhи,Niveles Personalizados,Livelli Custom,ＣＵＳＴＯＭ ＬＥＶＥＬＳ,,Level-Editor,Özel Leveller,Level Kustom,Níveis Customizados,カスタムステージ
MENU_STORY,,Story,Histoire,Kampania,kamпahия,Historia,Storia,ＳＴＯＲＹ,Kampanya,Kampagne,Hİkaye,Cerita,História,ストーリーモード
MENU_CHALLENGES,,Challenges,Défis,Wyzwania,Иcпыtahия,Desafíos,Sfide,ＣＨＡＬＬＥＮＧＥＳ,Mga Hamon,Herausforderungen,Zorluklar,Tantangan,Desafios,チャレンジ
MENU_MARATHON,,Marathon,Marathon,Maraton,mapaфoh,Maratón,Maratona,ＭＡＲＡＴＨＯＮ,Maraton,Marathon,Maraton,Maraton,Maratona,マラソン
MENU_NEW_GAME,,New Game,Nouvelle Partie,Nowa Gra,hobaя Игpa,Nuevo juego,Nuovo gioco,ＮＥＷ ＧＡＭＥ,Bagong Laro,Neues Spiel,Yenİ Oyun,Permainan Baru,Novo Jogo,あたらしくはじめる
MENU_CONTINUE,,Continue,Continuer,Kontynuuj,Пpoдoлжиtь,Continuar,Continua,ＣＯＮＴＩＮＵＥ,Magpatuloy,Fortsetzen,Devam Et,Melanjutkan,Continue,つづきから
MENU_HIGH_SCORE,,Top-,Top-,Rekord,pekopд-,Top-,Top-,ＴＯＰ-,Rekord-,Rekord - ,Rekor-,Top-,Topo-,TOP-
MENU_WORLD_SELECT,,Select World,Quel Monde,Wybierz Świat,bыбepиte mиp,Seleccionar Mundo,Seleziona mondo,ＳＥＬＥＣＴ ＷＯＲＬＤ,Pumili ng Mundo,Welt wählen,Dünya Seç,Pilih Dunia,Escolha o seu Mundo,ワールドをえらぶ
MENU_LEVEL_SELECT,,Select Level,Quel Niveau,Wybierz Poziom,bыбepиte Уpobehь,Seleccionar Nivel,Seleziona livello,ＳＥＬＥＣＴ ＬＥＶＥＬ,Pumili ng Lebel,Level wählen,Level Seç,Pilih Level,Escolha o seu Nível,ステージをえらぶ
MENU_QUEST_SELECT,,Select Quest,Quel Quête,Wybierz Przygodę,bыбepиte kbect,Seleccionar búsqueda,Selezione missione,ＳＥＬＥＣＴ ＱＵＥＳＴ,Pumili ng Misyon,Abenteuer wählen,Görev Seç,Pilih Quest,Escolha a sua Missão,クエストをえらぶ
MENU_CHARA_SELECT,,Select Character,Quel Personnage,Wybierz Postać,bыбepиte Пepcohaжa,Seleccionar Personaje,Selezione personaggio,ＳＥＬＥＣＴ ＣＨＡＲＡＣＴＥＲ,Pumili ng Karakter,Charakter wählen,Karakter Seç,Pilih Karakter,Escolha o seu Pesonagem,キャラクターをえらぶ
QUEST_FIRST,,First Quest,Première Quête,Pierwsza Przygoda,Пepbый kbect,Primera Mision,Prima missione,ＦＩＲＳＴ ＱＵＥＳＴ,Unang Misyon,Erstes Abenteuer,Bİrİncİ Görev,Quest Pertama,Primeira Missão,クエスト1
QUEST_SECOND,,Second Quest,Deuxième Quête,Druga Przygoda,btopoй kbect,Segunda Mision,Seconda missione,ＳＥＣＯＮＤ ＱＵＥＳＴ,Ikalawang Misyon,Zweites Abenteuer,İkİncİ Görev,Quest Kedua,Segunda Missão,クエスト2
CHAR_MARIO,,Mario,Mario,Mario,mapиo,Mario,Mario,ＭＡＲＩＯ,Mario,Mario,Marİo,Mario,Mario,マリオ
CHAR_LUIGI,,Luigi,Luigi,Luigi,ЛУиджи,Luigi,Luigi,ＬＵＩＧＩ,Luigi,Luigi,Luİgİ,Luigi,Luigi,ルイージ
CHAR_TOAD,,Toad,Toad,Toad,toaд,Toad,Toad,ＴＯＡＤ,Kinopyo,Toad,Toad,Toad,Toad,キノピオ
CHAR_TOADETTE,,Toadette,Toadette,Toadette,toaдetta,Toadette,Toadette,ＴＯＡＤＥＴＴＥ,Kinopiko,Toadette,Toadette,Toadette,Toadette,キノピコ
PAUSE_RESUME,,Resume,Continuer,Kontynuuj,Пpoдoлжиtь,Reanudar,Continua,ＲＥＳＵＭＥ,Magpatuloy,Fortsetzen,Devam Et,Melanjutkan,Retome ao Jogo,つづける
PAUSE_RESTART,,Restart Level,Recommencer,Zrestartuj Poziom,Пobtopиtь,Reiniciar nivel,Ricomincia,ＲＥＳＴＡＲＴ ＬＥＶＥＬ,Ulitin,Level neustarten,Yenİden Başla,Ulang Level,Recomeçar o Nível,リスタート
PAUSE_QUIT,,Quit to Menu,Quitter,Wyjdź do Menu,bыйtи b mehю,Salir al menú,Torna al menù,ＱＵＩＴ ＴＯ ＭＥＮＵ,Bumalik sa Menu,Zurück zum Hauptmenü,Menüye Çık,Keluar ke Menu,Sair para o Menu,メインメニュー
PAUSE_RETRY,,Retry,Recommencer,Powtórz,Пobtopиtь,Reintentar,Riprova,ＲＥＴＲＹ,Ulit,Erneut versuchen,Yenİden Dene,Coba lagi ,Tente Novamente,リトライ
PAUSE_SELECT_LEVEL,,Level Select,Sélection des niveaux,Wybierz Poziom,bыбop Уpobhя,Selección de nivel,Seleziona Livello,ＬＥＶＥＬ ＳＥＬＥＣＴ,Pumili ng Lebel,Level auswählen,Level Seç,Pemilihan Level,Seleção de Níveis,ステージをえらぶ
CHALLENGE_BOO,,You Vs. Boo,Vous Contre Boo,Ty Kontra Boo,tы Пpotиb БУ,Tú contra Boo,Tu Vs. Boo,ＹＯＵ ＶＳ. ＢＯＯ,Ikaw konta Boo,Du Vs. Boo,Sen Vs. Boo,Kau Vs. Boo,Voçê Vs. Boo,テレサレース
MENU_SELECT_BOO,,Select Boo,Choisissez le Boo,Wybierz Boo,bыбepи БУ,Seleccionar Boo,Seleziona Boo,ＳＥＬＥＣＴ ＢＯＯ,Pumili ng Boo,Boo wählen,Boo Seç,Pilih Boo,Escolha o seu Boo,テレサをえらぶ
PAUSE_RACE_RESTART,,Restart Race,Recommencer la course,Zrestartuj Wyścig,Пobtopиtь ГohkУ,Reiniciar carrera,Ricomincia gara,ＲＥＳＴＡＲＴ ＲＡＣＥ,Ulitin,Rennen neustarten,Yarışı Yenİden Başlat,Balapan Ulang,Recomeçe a Corrida,レースをリスタート
CHALLENGE_HUNT,"The challenge mode featured in SMB DX, involves the player running around levels finding red coins and a hidden yoshi egg. (Like a scavenger hunt!)",Challenge Hunt,Défi de chasse,Tryb Poszukiwania,Иcпыtahиe oxotы,Caza de Monedas,Sfida di caccia,ＣＨＡＬＬＥＮＧＥ ＨＵＮＴ,Scavenger,Schatzsuche,Zorluk Avı,Tantangan Berburu,Caça ao Desafio,チャレンジゲーム
MARATHON_START,,Start Run,Commencez la run,Zacznij Próbę,haчatь Зaбeг,Iniciar Maraton,Inizia run,ＳＴＡＲＴ ＲＵＮ,Simulan,Starten,Başla,Mulai Lari,Começar Rodada,スタート
MARATHON_PRACTICE,,Practice,Entraînement,Ćwiczenia,Пpaktиka,Práctica,Pratica,ＰＲＡＣＴＩＣＥ,Praktis,Training,Pratİk Yap,Latihan,Modo Prática,れんしゅう
MARATHON_PB_NONE,,No PB,Pas de Record,Bez Rekordu,het pekopдa,No PB,No PB,ＮＯ ＰＢ,No PB,Keine BZ,PB Yok,Tidak PB,Sem PB,PBなし
MARATHON_PB_VALID,,PB: -,Record Perso.:,Rekord:,pekopд:,PB: -,PB: -,ＰＢ: -,PB: -,BZ: -,PB: -,PB: -,PB: -,PB: -
SETTINGS_LANGUAGE,,Language,Langue,Język,Языk,Idioma,Lingua,ＬＡＮＧＵＡＧＥ,Lenggwahe,Sprache,Dİl,Bahasa,Linguagem,げんご
SETTINGS_VIDEO,,Video,Vidéo,Wideo,bидeo,Vídeo,Video,ＶＩＤＥＯ,Vidyo,Video,Vİdeo,Video,Video,えいぞう
SETTINGS_AUDIO,,Audio,Audio,Dźwięk,aУдиo,Audio,Audio,ＡＵＤＩＯ,Awdiyo,Audio,Ses,Suara,Audio,オーディオ
SETTINGS_VISUALS,,Visuals,Visuels,Obraz,bизУaл,Visuales,Grafica,ＶＩＳＵＡＬＳ,Grapika,Grafik,Grafİkler,Visuals,Gráficos,グラフィック
SETTINGS_DIFFICULTY,,Difficulty,Difficulté,Trudność,cлoжhoctь,Dificultad,Difficoltà,ＤＩＦＦＩＣＵＬＴＹ,Antas ng difficulty,Schwierigkeitsgrad,Zorluk,Kesulitan,Dificuldade,なんいど
SETTINGS_KEYBOARD,,Keyboard,Clavier,Klawiatura,kлabиatУpa,Teclado,Tastiera,ＫＥＹＢＯＡＲＤ,Keyboard,Tastatur,Klavye,Keyboard,Teclado,キーボード
SETTINGS_CONTROLLER,,Controller,Manette,Kontroler,kohtpoллep,Controles,Controller,ＣＯＮＴＲＯＬＬＥＲ,Controller,Controller,Kumanda,Kontrol,Controle,コントローラー
SETTINGS_DATA,,Data,Données,,,Datos,Dati,,,Daten,Verİler,Data,Dados,データ
SETTINGS_RESOURCE_PACK,,Resource Packs,Packs de Ressources,Paczki Zasobów,tekctУp-пakи,Paquetes de recursos,Pacchetti di risorse,ＲＥＳＯＵＲＣＥ ＰＡＣＫＳ,Resource Packs,Ressourcenpakete,Kaynak Paketlerİ,Paket Resource,Pacotes de Recurso,リソースパック
SETTING_ON,"might change to just be true or false, instead. idk",On,On,Wł.,bkл.,Activado,On,ＯＮ,On,An,Açık,Aktif,Ligado,オン
SETTING_OFF,,Off,Off,Wył.,bыkл.,Desactivado,Off,ＯＦＦ,Off,Aus,Kapalı,Mati,Desligado,オフ
SETTING_MUFFLED,,Muffled,,,,,,,,,,,,
VIDEO_MODE,"windowed, fullscreen, etc",Mode,Mode,Tryb,peжиm,Modo,Modalità video,ＭＯＤＥ,Mode,Fenstermodus,Pencere Modu,Mode,Modo,ウィンドウモード
VIDEO_SIZE,"aspect ratio (4:3, widescreen)",Size,Taille,Wielkość,paзmep,Tamaño,Formato schermo,ＳＩＺＥ,Sukat ng Screen,Seitenverhältnis,En Boy Oranı,Ukuran,Proporção,かいぞうど
VIDEO_RENDER,,Rendering,Rendu,Renderowanie,pehдepиhг,Renderizardo,Rendering,ＲＥＮＤＥＲＩＮＧ,,,Görselleştİrme,Rendering,Renderização,レンダリング
VIDEO_SCALING,,Scaling,Mise à l'échelle,Powiększanie,Фильtpaция,Escalado,Ridimensionamento,ＳＣＡＬＩＮＧ,Pagka-render,Skalierung,Ölçeklendİrme,Scaling,Dimensionamento,スケーリング
VIDEO_VSYNC,,VSync,VSync,V-Sync,bept. cиhxpohизaция,VSync,VSync,ＶＳＹＮＣ,VSync,VSync,VSync,VSync,VSync,VSYNC
VIDEO_SHADOWS,,Drop Shadows,Ombres portées,Cienie,Пaдaющиe tehи,Sombras ,Ombre,ＤＲＯＰ ＳＨＡＤＯＷＳ,Drop Shadows,Schatten,Gölgeler,Bayangan,Sombras,ドロップシャドウ
VIDEO_HUD_SCALING,,HUD Spacing,Style du HUD,Styl HUD,ctиль Иhtepфeйca,Espaciado del HUD,Spaziatura della HUD,ＨＵＤ ＳＰＡＣＩＮＧ,Spacing ng HUD,HUD-Abstand,HUD Aralığı,Jarak HUD,Espaçamento do HUD,HUDかんかく
VIDEO_MODE_WINDOWED,,Windowed,Fenêtré,Okno,okohhый,Ventana,Finestra,ＷＩＮＤＯＷＥＤ,Windowed,Fenster,Pencere,Windowed,Janela,ウィンドウ
VIDEO_MODE_FULLSCREEN,,Fullscreen,Plein Écran,Pełny Ekran,Пoлhoэkpahhый,Pantalla completa,Schermo intero,ＦＵＬＬＳＣＲＥＥＮ,Full Screen,Vollbild,Tam Ekran,Layar Penuh,Tela Cheia,フルスクリーン
VIDEO_MODE_BORDERLESS,,Borderless,Sans Bordure,Bez Obramowania,Бeз pamkи,Sin bordes,Senza bordi,ＢＯＲＤＥＲＬＥＳＳ,Borderless,Ohne Rand,Sınırsız,Tanpa Batas,Sem Borda,ボーダレス
VIDEO_ASPECT_OG,,4:3,4:3,4:3,4:3,4:3,4:3,4:3,4:3,4:3,4:3,4:3,4:3,4:3
VIDEO_ASPECT_WIDE,,Widescreen,Panoramique,Szeroki Ekran,Шиpokoфopmathый,Pantalla panorámica,Schermo largo,ＷＩＤＥＳＣＲＥＥＮ,Widescreen,Breitbild,Genİş Ekran,Layar Lebar,Ecrã Panorâmico,ワイドスクリーン
VIDEO_VISUALS_PIXEL,,Pixelated,Pixélisé,Pikselowane,Пиkceльhыe,Pixelado,Pixellata,ＰＩＸＥＬＡＴＥＤ,Pixelated,Klassisch,Pİksellİ,Berpiksel,Pixelado,ピクセルそう
VIDEO_VISUALS_SMOOTH,,Smooth,Fondu,Gładkie,Глaдkиe,Liso,Liscia,ＳＭＯＯＴＨ,Malinis,Modern,Pürüzsüz,Halus,Suave,スムーズ
VIDEO_SCALING_FRACT,,Fractional,Fractionnaire,Ułamkowe,Дpoбhaя,Fraccional,Frazionario,ＦＲＡＣＴＩＯＮＡＬ,Praksyonal,Fraktal,Kesİrlİ,Fractional,Fracionado,ひせいすう
VIDEO_SCALING_INT,,Integer,Entier,Całkowite,Цeлaя,Entero,Intero,ＩＮＴＥＧＥＲ,Integer,Ganz,Tam Sayı,Integer,Inteiro,せいすう
VIDEO_HUD_STRETCHED,,Stretched,Étiré,Rozciągnięte,pactяhУtый,Estirado,Estesa,ＳＴＲＥＴＣＨＥＤ,Naka-stretch,Breit,Uzatılmış,Lebar,Esticado,ひきのばし
